,g_hwr,g_awr,g_hspa,g_aspa,g_hrpa,g_arpa,g_hda,g_ada,g_hts,g_ats,g_hhspa,g_haspa,g_hhrpa,g_harpa,g_hhda,g_hada,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
104,54.55,40.0,74.36,61.4,73.45,66.5,0.91,-5.1,147.82,127.9,39.45,30.1,38.18,32.0,1.27,-1.9,100.0,40.0,78.4,64.2,63.8,64.6,14.6,-0.4,142.2,128.8,44.0,33.2,31.6,28.8,12.4,4.4,87,73.156075,62.88425,138.05678,1,0.9958343505859375,USE (K)
105,80.0,80.0,67.2,69.6,57.8,60.3,9.4,9.3,125.0,129.9,35.9,35.0,28.0,31.9,7.9,3.1,100.0,60.0,67.8,65.2,51.8,64.6,16.0,0.6,119.6,129.8,36.0,34.0,24.6,32.8,11.4,1.2,126,63.119774,54.276333,119.85851,1,0.9862470626831055,Moncalieri (K)
106,60.0,33.33,82.0,82.0,86.8,85.33,-4.8,-3.33,168.8,167.33,44.4,44.67,40.6,40.67,3.8,4.0,100.0,0.0,81.5,90.0,74.0,94.0,7.5,-4.0,155.5,184.0,46.0,45.0,36.5,45.0,9.5,0.0,13,89.05507,80.645424,174.72519,1,0.9974150657653809,Kumanovo
107,30.0,10.0,71.9,47.1,75.5,90.2,-3.6,-43.1,147.4,137.3,35.0,22.8,38.9,45.6,-3.9,-22.8,33.33,14.29,68.0,46.43,69.33,88.86,-1.33,-42.43,137.33,135.29,29.0,21.14,38.67,45.57,-9.67,-24.43,26,82.25589,53.827415,135.04826,1,0.9697993397712708,AZS Poznan (K)
109,11.11,44.44,68.56,75.22,78.78,77.44,-10.22,-2.22,147.33,152.67,33.67,38.22,39.78,37.56,-6.11,0.67,0.0,60.0,63.8,75.8,75.4,71.6,-11.6,4.2,139.2,147.4,31.6,40.0,36.2,31.8,-4.6,8.2,83,64.0762,79.06922,142.30139,2,0.9929121136665344,Galitos FC
110,100.0,0.0,84.78,72.11,66.78,84.33,18.0,-12.22,151.56,156.44,40.56,34.89,32.22,42.0,8.33,-7.11,100.0,0.0,89.75,73.33,69.0,91.0,20.75,-17.67,158.75,164.33,42.0,33.67,31.5,40.67,10.5,-7.0,83,94.12852,69.4507,165.45702,1,0.9995918869972229,Porto
111,25.0,100.0,61.13,82.5,65.5,59.5,-4.38,23.0,126.63,142.0,29.13,38.0,33.75,33.0,-4.63,5.0,25.0,100.0,58.25,78.0,57.5,75.0,0.75,3.0,115.75,153.0,24.75,40.0,30.0,41.0,-5.25,-1.0,121,60.903027,70.69494,138.17224,2,0.9881826043128967,Queluz
112,25.0,25.0,59.5,61.13,77.88,72.88,-18.38,-11.75,137.38,134.0,29.5,28.75,39.38,38.0,-9.88,-9.25,20.0,20.0,58.8,58.6,82.8,75.0,-24.0,-16.4,141.6,133.6,30.0,27.2,42.0,42.0,-12.0,-14.8,79,65.908066,68.1463,139.00943,2,0.6968361735343933,CB Queluz (K)
126,40.0,25.0,70.8,68.25,78.0,72.75,-7.2,-4.5,148.8,141.0,30.4,32.25,37.2,37.75,-6.8,-5.5,0.0,0.0,72.0,72.5,76.0,85.5,-4.0,-13.0,148.0,158.0,19.0,33.0,29.0,48.0,-10.0,-15.0,117,83.45751,73.02097,152.63539,1,0.9748516082763672,Orthodox
127,80.0,100.0,94.2,94.6,80.2,78.8,14.0,15.8,174.4,173.4,43.6,52.8,38.6,34.2,5.0,18.6,100.0,100.0,95.0,97.0,75.33,83.0,19.67,14.0,170.33,180.0,42.33,60.0,33.0,27.0,9.33,33.0,117,82.250084,80.52415,165.40622,1,0.5841141939163208,Al Jubaiha
