,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league
42,40.0,42.86,68.4,73.43,67.4,87.0,1.0,-13.57,135.8,160.43,33.0,33.43,31.6,37.71,1.4,-4.29,52,60,10,14,15,13,16,10,14,20,Liga Nacional
43,57.14,42.86,83.57,78.0,75.86,79.71,7.71,-1.71,159.43,157.71,39.29,39.29,38.0,40.0,1.29,-0.71,92,80,23,25,26,18,24,18,20,18,Liga Nacional
44,50.0,25.0,83.75,78.0,69.0,80.5,14.75,-2.5,152.75,158.5,36.25,37.5,30.25,41.5,6.0,-4.0,80,85,16,16,26,18,22,11,27,16,BBL Cup
45,100.0,0.0,96.0,77.0,68.67,90.33,27.33,-13.33,164.67,167.33,50.0,38.0,33.67,43.0,16.33,-5.0,87,84,16,27,24,20,29,18,11,26,BBL Cup
46,50.0,66.67,82.5,71.67,84.5,67.67,-2.0,4.0,167.0,139.33,42.75,33.0,36.5,32.67,6.25,0.33,72,64,17,22,17,16,16,11,12,25,BBL Cup
47,50.0,33.33,86.75,67.67,81.0,87.0,5.75,-19.33,167.75,154.67,48.0,32.0,40.5,44.33,7.5,-12.33,93,59,20,31,25,17,10,16,15,18,BBL Cup
48,0.0,0.0,72.5,70.0,75.0,74.33,-2.5,-4.33,147.5,144.33,33.5,31.33,37.0,34.33,-3.5,-3.0,88,84,19,13,20,22,18,19,19,18,SBL
49,66.67,66.67,75.33,73.33,67.67,64.0,7.67,9.33,143.0,137.33,35.33,33.0,29.33,29.0,6.0,4.0,77,67,14,21,14,28,9,22,19,17,SBL
50,0.0,28.57,74.2,73.71,91.0,82.57,-16.8,-8.86,165.2,156.29,35.2,34.71,44.4,42.57,-9.2,-7.86,64,70,17,5,23,19,14,22,15,19,A1 Liga
51,83.33,20.0,89.33,94.4,78.17,99.8,11.17,-5.4,167.5,194.2,42.33,45.2,40.67,49.6,1.67,-4.4,,,,,,,,,,,KLS
52,50.0,50.0,79.5,82.5,78.33,82.5,1.17,0.0,157.83,165.0,39.33,44.5,41.17,42.0,-1.83,2.5,74,82,26,11,20,17,24,23,15,20,KLS
53,60.0,66.67,81.8,76.33,80.4,68.33,1.4,8.0,162.2,144.67,40.2,37.33,41.6,35.83,-1.4,1.5,68,72,23,13,17,15,14,20,17,21,1. SKL
54,60.0,40.0,74.4,77.8,68.0,79.6,6.4,-1.8,142.4,157.4,40.4,42.6,31.6,37.2,8.8,5.4,74,77,15,19,20,20,16,19,23,19,1. SKL
55,85.71,33.33,84.29,81.0,76.71,81.83,7.57,-0.83,161.0,162.83,41.14,42.5,38.86,38.5,2.29,4.0,84,76,18,16,32,18,16,22,20,18,NBL
56,50.0,40.0,83.88,80.8,83.75,84.4,0.13,-3.6,167.63,165.2,42.0,41.6,44.5,44.8,-2.5,-3.2,95,86,17,32,21,25,20,21,28,17,NBL
57,87.5,50.0,85.75,75.0,70.75,75.5,15.0,-0.5,156.5,150.5,44.25,34.13,33.38,40.75,10.88,-6.63,81,61,22,25,9,25,11,11,15,24,Extraliga
